title,creator,date,description,subject,location,latitude,longitude,source,objectid,type,format,language,rights,rightsstatement,reference_url,filename
Osmanlı İmparatorluğunda Çevre ve Şehir,Digital Ottoman Studies,2015,Osmanlı İmparatorluğunda Çevre ve Şehir,Proje;Şehircilik,"Ankara,Çankaya;Çevre ve Şehircilik Bakanlığı",39.92579047,32.85605541,"Fehmi Yılmaz Proje Yürütücüsü, Mehmet Genç Proje Baş Dnaışmanı, T.C. Çevre ve Şehircilik Bakanlığı",mg-60,Döküman,application/pdf,tr,http://ktp2.isam.org.tr/detayzt.php?navdil=tr&amp;idno=350865&amp;wYazarlar=Mehmet+Genç,,https://digitalottomans.github.io/demo/item.html?id=60,mg-60.pdf
1126 tarihli Üsküdar Şer’iye Sicili,Digital Ottoman Studies,1997-10-09,"Le Commerce du Café, Son Contrôl et Sa Taxation Dans l’Empire Otoman Entre la fi du 17éme Siècle Début du 18éme Siècle",Bildiri;İktisat;Maliye;Vergi;Ticaret;Kahve;Yüzyıllar;17.Yy;18.Yy,"Fransa,Montpellier",43.62167572,3.848075907,"Le Café avant l’ère des Plantations Coloniales Espaces et Réseaux, Sociétés (XVe-XVIIIe siècles)",mg-61,Döküman,application/pdf,fr,,,https://digitalottomans.github.io/demo/item.html?id=61,mg-61.pdf
Fethin İktisadi Sonuçları,Digital Ottoman Studies,1997,İstanbul’un Fethi: İktisadi Sonuçları,Bildiri;İktisat;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 199-203",mg-62,Döküman,application/pdf,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,,https://digitalottomans.github.io/demo/item.html?id=62,mg-62.pdf
İkinci Uluslararası İstanbul’un Fethi Konferansı,Digital Ottoman Studies,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,"İkinci Uluslararası İstanbul’un Fethi Konferansı, 30-31 Mayıs, 1 Haziran 1997, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 310-313",mg-63,Döküman,application/pdf,tr,https://www.ibb.istanbul/CorporateUnit/Detail/23,,https://digitalottomans.github.io/demo/item.html?id=63,mg-63.pdf
İktisadî Açıdan Osmanlı’da Zekât Uygulamaları ,Digital Ottoman Studies,2017,İktisadî Açıdan Osmanlı’da Zekât Uygulamaları ,Bildiri;İktisat;Zekat,İstanbul,41.1292562,28.88335172,"Tarihte ve Günümüzde Zekât Uygulamaları Milletlerarası Tartışmalı İlmî Toplantı, 03-04 Aralık 2016, Ensar Neşriyat, 255-261",mg-64,Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/G00202/2017/2017_KAYAS1.pdf,,https://digitalottomans.github.io/demo/item.html?id=64,mg-64.pdf
Kalkınma Meselemize Tarihî Yaklaşım,Digital Ottoman Studies,1987,Kalkınma Meselemize Tarihî Yaklaşım,Bildiri;İktisat;İktisadi Büyüme;Kalkınma,İstanbul,41.1292562,28.88335172,"İktisadi Kalkınma ve İslam, İslami Araştırma Vakfı Yayınları, 211-221",mg-65,Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D013936/1987/1987_GENCM.pdf,,https://digitalottomans.github.io/demo/item.html?id=65,mg-65.pdf
Neden Fetih?,Digital Ottoman Studies,1997,Neden Fetih?,Bildiri;Devlet;Fetih;Şehirler;İstanbul,İstanbul,41.1292562,28.88335172,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 96-98",mg-66,Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,,https://digitalottomans.github.io/demo/item.html?id=66,mg-66.pdf
Birinci Uluslararası İstanbul’un Fethi Konferansı,Digital Ottoman Studies,1997,Genel Değerlendirme,Bildiri;Değerlendirme,İstanbul,41.1292562,28.88335172,"Birinci Uluslararası İstanbul’un Fethi Konferansı, 24-25 Mayıs 1996, Bildiriler: İBB Kültür İşleri Daire Başkanlığı Yayınları, 219-222",mg-67,Döküman,application/pdf,tr,http://isamveri.org/pdfdrg/D069512/1997/1997_GENCM.pdf,,https://digitalottomans.github.io/demo/item.html?id=67,mg-67.pdf
Osmanlı İmparatorluğunda Devlet ve Ekonomi,Digital Ottoman Studies,1990,Osmanlı İmparatorluğunda Devlet ve Ekonomi,Bildiri;İktisat;Devlet,İstanbul,41.1292562,28.88335172,"V. Milletlerarası Türkiye Sosyal ve İktisat Tarihi Kongresi,  21-25 Ağustos 1989, Tebliğler: TTK Yayınları, 13-25",mg-68,Döküman,application/pdf,tr,https://www.ttk.gov.tr/en/,,https://digitalottomans.github.io/demo/item.html?id=68,mg-68.pdf
Osmanlı Arşivlerinden Yararlanma Yöntemi,Digital Ottoman Studies,1985-05,Osmanlı Arşivlerinden Yararlanma Yöntemi,Bildiri;Tarihçilik;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,"Osmanlı Arşivleri ve Osmanlı Araştırmaları Sempozyumu (Mayıs 1985), Türk-Arap İlişkileri İncelemeleri Vakfı, 155-162",mg-69,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=69,mg-69.pdf
İktisat ve Deniz Ticaret Tarihinde Doğu Akdeniz ve Mersin’e Nasıl Yaklaşılmalı?,Digital Ottoman Studies,2011,İktisat ve Deniz Ticaret Tarihinde Doğu Akdeniz ve Mersin’e Nasıl Yaklaşılmalı?,Bildiri;İktisat;Ticaret;Deniz Ticareti;Akdeniz;Tarihçilik;Şehirler;Mersin,Mersin;Mersin Üniversitesi,36.88131219,34.57471452,"Fevzi Demir ed. Açılış Konuşması, Türk Deniz Ticareti Tarihi Sempozyumu III Mersin ve Doğu Akdeniz 7-8 Nisan 2011, Bildiriler Kitabı, Mersin Üniversitesi, 8-12",mg-70,Döküman,application/pdf,tr,http://arkeoloji.uludag.edu.tr/documents/mustafa/deniz%20ticareti%20sempozyumu%203.pdf,,https://digitalottomans.github.io/demo/item.html?id=70,mg-70.pdf
Osmanlı Esnafı ve Devletle İlişkileri,Digital Ottoman Studies,1986,Osmanlı Esnafı ve Devletle İlişkileri,Bildiri;Ticaret;Esnaf;Devlet,İstanbul,41.1292562,28.88335172,"Ahilik ve Esnaf: Konferanslar ve Seminer, Metinler-Tartışmalar, İstanbul Esnaf ve Sanatkarlar Dernekleri Birliği Yayınları, 113-124",mg-71,Görüntü,image/jpg,tr,https://www.istesob.org.tr/konu/basin-yayin/akademik-yayinlarimiz/,,https://digitalottomans.github.io/demo/item.html?id=71,mg-71.jpg
Osmanlı’da 17. Yüzyılın Sosyal ve Siyasal Yapısında Değişmeler,Digital Ottoman Studies,2013,Osmanlı’da 17. Yüzyılın Sosyal ve Siyasal Yapısında Değişmeler,Bildiri;Toplum;Devlet;Yüzyıllar;17.Yy,İstanbul,41.1292562,28.88335172,"Itri ve Dönemine Disiplinlerarası Bakışlar, İKSV ve OMAR, 13-18",mg-72,Döküman,application/pdf,tr,https://www.academia.edu/7838793/Osmanlıda_17_yüzyılın_Sosyal_ve_Siyasal_Yapısında_Değişmeler,,https://digitalottomans.github.io/demo/item.html?id=72,mg-72.pdf
Örnek Bir Aydın Olarak Erol Güngör,Digital Ottoman Studies,2009,Örnek Bir Aydın Olarak Erol Güngör,Bildiri;Kişiler;Erol Güngör,İstanbul,41.1292562,28.88335172,"Kültür Ocağında Bir Mütefekkir Erol Güngör, Koçav Yayınları,231-234 ",mg-73,Döküman,application/pdf,tr,http://www.kocav.org.tr/page/kocav-yayincilik,,https://digitalottomans.github.io/demo/item.html?id=73,mg-73.pdf
Ömer Lütfi Barkan,Digital Ottoman Studies,2011,Ömer Lütfi Barkan,Bildiri;Kişiler;Ömer Lütfi Barkan,Ankara;TTK,39.93111335,32.85618695,"Mehmet Öz ed., Cumhuriyet Döneminde Türkiye`de Tarihçilik ve Tarih Yayıncılığı Sempozyumu (Bildiriler), Türk Tarih Kurumu Yayınları, 18-20 Mart 2010",mg-74,Görüntü,image/jpg,tr,https://www.ttk.gov.tr/en/,,https://digitalottomans.github.io/demo/item.html?id=74,mg-74.jpg
Osmanlı Maliyesinde Malikâne Sistemi,Digital Ottoman Studies,1975,Osmanlı Maliyesinde Malikâne Sistemi,Bildiri;İktisat;Maliye;Vergi;Malikane Sistemi,Ankara,39.9753847,32.75741589,"Osman Okyar-Ünal Nalbantoğlu ed., Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar (8-l0 Temmuz 1973), Hacettepe Üniversitesi Yayınları, 231-296",mg-75,Döküman,application/pdf,tr,http://www.library.hacettepe.edu.tr/books/,,https://digitalottomans.github.io/demo/item.html?id=75,mg-75.pdf
Aya Mavra in the Beginning of the Eighteenth Century,Digital Ottoman Studies,1996,Aya Mavra in the Beginning of the Eighteenth Century,Bildiri;Şehirler;Aya Mavra;Yüzyıllar;18.Yy,"Yunanistan,Atina",38.03419954,23.74015979,"From the Local to Global History. The Xemple of Lefkada, 15-19th centuries, Proceedings of IV Conference of Ionian Islands Civilization (Aya Mavra 8-12 Sept. 1993), Conference dedicated to Panos G. Rontoyannis, 65-74",mg-76,Görüntü,image/jpg,gre,,,https://digitalottomans.github.io/demo/item.html?id=76,mg-76.jpg
Osmanlı Dünyasında Dilencilik,Digital Ottoman Studies,2008,Osmanlı Dünyasında Dilencilik,Bildiri;Toplum;Dilencilik,İstanbul,41.1292562,28.88335172,"Suvat Parin ed., Bir Kent Sorunu: Dilencilik Tebliğler Kitabı, İBB Zabıta Daire Başkanlığı, 13-15",mg-77,Döküman,application/pdf,tr,https://zabita.ibb.gov.tr,,https://digitalottomans.github.io/demo/item.html?id=77,mg-77.pdf
XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Digital Ottoman Studies,1997,XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Bildiri;Ticaret;İhracat;İç Ticaret;Dönemler;Klasik;Yüzyıllar;15.Yy;16.Yy,İstanbul,41.1292562,28.88335172,"XV. ve XVI. Asırları Türk Asrı Yapan Değerler, 395-408",mg-78,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=78,mg-78.pdf
Devlet ve Girişimciler,Digital Ottoman Studies,2009,Devlet ve Girişimciler,Bildiri;Ticaret;Girişimcilik;Devlet,Konya,37.89835968,32.49418867,"Abdullah Ecevit Öksüz ed., Anadolu’da Girişimcilik Kültürü Sempozyumu Tebliğ Kitabı",mg-79,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=79,mg-79.jpg
Entreprises d&#39;état et Attitude Politique dans l&#39;Industrie Ottomane au XVIIIe Siècle,Digital Ottoman Studies,1987,Entreprises d&#39;état et Attitude Politique dans l&#39;Industrie Ottomane au XVIIIe Siècle,Bildiri;İktisat;Sanayii;Ticaret;Girişimcilik;Yüzyıllar;18.Yy,,,,"l&#39; Accession de la Turquie à la Civilisation Indusrielle, Facteurs Internes. Actes du Colloque d&#39;Istanbul, (2-4 December 1985), Editions ISIS, İstanbul-Paris, 5-12.",mg-80,Döküman,application/pdf,fr,http://www.theisispress.org,,https://digitalottomans.github.io/demo/item.html?id=80,mg-80.pdf
"Mustafa Özel, Türkiye’de İktisadî Modernleşme Sürecine",Digital Ottoman Studies,2001,"Mustafa Özel, Türkiye’de İktisadî Modernleşme Sürecine",Müzakere;İktisat;İktisadi Modernleşme;Ülkeler;Türkiye;Kişiler;Mustafa Özel,İstanbul,41.1292562,28.88335172,"Yorum, Modernleşme, İslam Dünyası ve Türkiye, 321-327",mg-81,Döküman,application/pdf,tr,,,https://digitalottomans.github.io/demo/item.html?id=81,mg-81.pdf
18. Yy&#39;a Ait Osmanlı Mali Verilerinin İktisadi Faliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma ,Digital Ottoman Studies,1980,18. Yy&#39;a Ait Osmanlı Mali Verilerinin İktisadi Faliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma ,Bildiri;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy,,,,278-315,mg-82,Döküman,application/pdf,gre,https://www.academia.edu/7838692/18_yya_Ait_Osmanlı_Mali_Verilerinin_İktisadi_Faliyetin_Göstergesi_Olarak_Kullanılabilirliği_Üzerinde_Bir_Çalışma_In_Greek_,,https://digitalottomans.github.io/demo/item.html?id=82,mg-82.pdf
III. Selim’e Sunulan Layihalar Üzerine Düşünceler,Digital Ottoman Studies,2008-12-22,III. Selim’e Sunulan Layihalar Üzerine Düşünceler,Bildiri;Devlet;Bürokrasi;Kişiler;III. Selim;Tarihçilik;Kaynaklar;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,"Nizam-ı Kadim’den Nizam-ı Cedid’e: Ölümünün 200. Yılında III. Selim ve Dönemi Uluslararası Sempozyumu, İSAM",mg-83,Görüntü,image/jpg,tr,http://www.isam.org.tr,,https://digitalottomans.github.io/demo/item.html?id=83,mg-83.jpg
1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Digital Ottoman Studies,1980,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Seminer;İktisat;Sanayii;Yüzyıllar;19.Yy,"İstanbul,Fatih;İstanbul Üniversitesi;Ziraat Bankası",41.01005056,28.96054028,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi ve Ziraat Bankası, Mithat Paşa Semineri",mg-84,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=84,mg-84.jpg
Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Digital Ottoman Studies,1981,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Seminer;İktisat;Sanayii;Sanayii Politikası;Ticaret;İhracat;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,"Boğaziçi Üniversitesi, Sanayileşme ve Dış Ticaret Semineri",mg-85,Görüntü,image/jpg,tr,http://www.boun.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=85,mg-85.jpg
Türkiye İktisat Tarihinde Tanzimatın Yeri,Digital Ottoman Studies,1984,Türkiye İktisat Tarihinde Tanzimatın Yeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Tanzimat;Ülkeler;Türkiye,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi, Tanzimat Semineri",mg-86,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=86,mg-86.jpg
Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Digital Ottoman Studies,1996,Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Seminer;Tarihçilik;İktisat Tarihçiliği;Kaynaklar;Arşiv,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,"İstanbul Üniversitesi Edebiyat Fakültesi, Türk Tarihinin Kaynakları Semineri",mg-87,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=87,mg-87.jpg
İktisat Tarihi Araştırmaları için Osmanlı Arşivi’nin Değeri,Digital Ottoman Studies,1996-11-13,İktisat Tarihi Araştırmaları için Osmanlı Arşivi’nin Değeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,Tarih Vakfı Arşiv Semineri,mg-88,Görüntü,image/jpg,tr,https://tarihvakfi.org.tr,,https://digitalottomans.github.io/demo/item.html?id=88,mg-88.jpg
Osmanlı Maliyesinde Malikâne Sistemi,Digital Ottoman Studies,1973-07-08,Osmanlı Maliyesinde Malikâne Sistemi,Seminer;İktisat;İktisadi Sistem;Maliye,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,"Hacettepe Üniversitesi, Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar",mg-89,Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=89,mg-89.jpg
19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Digital Ottoman Studies,1977,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Seminer;İktisat;İktisadi Politika;Maliye;Vergi;Dönemler;Modern;Yüzyıllar;19.Yy,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,"Hacettepe Üniversitesi, Uluslararası Türkiye İktisadi ve Sosyal Tarih Semineri",mg-90,Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=90,mg-90.jpg
Osmanlı İktisadi Sisteminde Esnaf Loncalarının Fonksiyonu,Digital Ottoman Studies,2002-05-09,Osmanlı İktisadi Sisteminde Esnaf Loncalarının Fonksiyonu,Seminer;İktisat;İktisadi Sistem;Ticaret;Esnaf,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,"İstanbul Üniversitesi, seminer",mg-91,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=91,mg-91.jpg
Osmanlı İktisat Tarihi Üzerine 6 seminer,Digital Ottoman Studies,2002-07-22,Osmanlı İktisat Tarihi Üzerine 6 seminer,Seminer;Tarihçilik;İktisat Tarihçiliği,"Çanakkale,Adatepe;İstanbul Bilgi Üniversitesi",40.14576412,26.39967725,İstanbul Bilgi Üniversitesi,mg-92,Görüntü,image/jpg,tr,https://www.bilgi.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=92,mg-92.jpg
Osmanlı’da Toplum ve Ekonomi Semineri,Digital Ottoman Studies,,Osmanlı’da Toplum ve Ekonomi Semineri,Seminer;Ekonomi;Toplum,"Yalova,Armutlu",40.51980708,28.82752876,"Yalova, Armutlu",mg-93,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=93,mg-93.jpg
Osmanlı Tarihi Seminerleri,Digital Ottoman Studies,2012,Osmanlı Tarihi Seminerleri,Seminer;Tarihçilik,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,"Bilim ve Sanat Vakfı, Osmanlı Tarihi Seminerleri 6 oturum: 30 Ekim, 5, 12, 19, 26 Kasım, 3 Aralık 2012",mg-94,Görüntü,image/jpg,tr,https://www.bisav.org.tr,,https://digitalottomans.github.io/demo/item.html?id=94,mg-94.jpg
Osmanlı Tarihi Seminerleri,Digital Ottoman Studies,2013,Osmanlı Tarihi Seminerleri,Seminer;Tarihçilik,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,"Bilim ve Sanat Vakfı, Osmanlı Tarihi Seminerleri 6 oturum: 3, 10, 17, 24, 31 Mart, 6 Nisan 2013",mg-95,Görüntü,image/jpg,tr,https://www.bisav.org.tr,,https://digitalottomans.github.io/demo/item.html?id=95,mg-95.jpg
Ömer Lütfi Barkan,Digital Ottoman Studies,2010-03-18,Ömer Lütfi Barkan,Konferans;Kişiler;Ömer Lütfi Barkan,Ankara,39.9753847,32.75741589,Cumhuriyet Döneminde Türkiye’de Tarihçilik ve Tarih Yayıncılığı Sempozyumu,mg-96,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=96,mg-96.jpg
Osmanlı Tarihinin Dönemlendirilmesi,Digital Ottoman Studies,1999-05-22,Osmanlı Tarihinin Dönemlendirilmesi,Konferans;Tarihçilik;Dönemlendirme,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,Bilim ve Sanat Vakfı,mg-97,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=97,mg-97.jpg
İstanbul’un Demografik Yapısı 1454-2003,Digital Ottoman Studies,2003-06-06,İstanbul’un Demografik Yapısı 1454-2003,Konferans;Toplum;Demografi;Şehirler;İstanbul;Yüzyıllar;15.Yy;21.Yy,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,"Bilim ve Sanat Vakfı, İstanbul Şehir ve Medeniyet Sempozyum",mg-98,Görüntü,image/jpg,tr,https://www.bisav.org.tr,,https://digitalottomans.github.io/demo/item.html?id=98,mg-98.jpg
18. Yüzyıl Osmanlısında İktisat ve Siyaset,Digital Ottoman Studies,2008-05-10,18. Yüzyıl Osmanlısında İktisat ve Siyaset,Konferans;İktisat;Devlet;Siyaset;Yüzyıllar;18.Yy,"İstanbul,Fatih;Bilim ve Sanat Vakfı",41.01677546,28.95987789,Bilim ve Sanat Vakfı,mg-99,Görüntü,image/jpg,tr,https://www.bisav.org.tr,,https://digitalottomans.github.io/demo/item.html?id=99,mg-99.jpg
18. Yüzyılda Osmanlı Ekonomisinde Değişmeler,Digital Ottoman Studies,1983-12-15,18. Yüzyılda Osmanlı Ekonomisinde Değişmeler,Konferans;İktisat;Yüzyıllar;18.Yy,"Gürcistan,Tiflis",41.72103861,44.81822888,"Academy of Seciences of Soviet Union, Oriental Institute",mg-100,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=100,mg-100.jpg
17-19. Yüzyıllarda Ticaret Merkezi Olarak Tokat,Digital Ottoman Studies,1986-07-02,17-19. Yüzyıllarda Ticaret Merkezi Olarak Tokat,Konferans;Ticaret;Şehirler;Tokat;Yüzyıllar;17.Yy;19.Yy,Tokat,40.32408029,36.54827912,Türk Tarihinde ve Kültüründe Tokat Sempozyumu,mg-101,Görüntü,image/jpg,tr,,,https://digitalottomans.github.io/demo/item.html?id=101,mg-101.jpg
18. Yüzyılda Osmanlı Limanlarında Gümrük Merkezleri,Digital Ottoman Studies,1998-04-20,18. Yüzyılda Osmanlı Limanlarında Gümrük Merkezleri,Konferans;İktisat;Maliye;Vergi;Ticaret;Yüzyıllar;18.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,"Boğaziçi Üniversitesi, International Symposium on the Ottoman Port Towns: Material Culture and Organization, 1600-1900",mg-102,Görüntü,image/jpg,ing,http://www.boun.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=102,mg-102.jpg
Osmanlı Ekonomisinde Müteşebbis,Digital Ottoman Studies,2007,Osmanlı Ekonomisinde Müteşebbis,Konferans;İktisat;Girişimcilik;Müteşebis,Konya;İttifak Holding,37.87293443,32.49411084,İttifak Holding,mg-103,Görüntü,image/jpg,tr,https://www.ittifak.com.tr,,https://digitalottomans.github.io/demo/item.html?id=103,mg-103.jpg
Malikâne-Divani Sistemi,Digital Ottoman Studies,2003-05-16,Malikâne-Divani Sistemi,Konferans;İktisat;Maliye;Vergi,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,Boğaziçi Üniversitesi,mg-104,Görüntü,image/jpg,tr,http://www.boun.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=104,mg-104.jpg
Osmanlı Sisteminin Ayırıcı Vasıfları Üzerine,Digital Ottoman Studies,2007-05-23,Osmanlı Sisteminin Ayırıcı Vasıfları Üzerine,Konferans,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,Boğaziçi Üniversitesi,mg-105,Görüntü,image/jpg,tr,http://www.boun.edu.tr,,https://digitalottomans.github.io/demo/item.html?id=105,mg-105.jpg
Kültür ve Kalkınma,Digital Ottoman Studies,1990-01-13,Kültür ve Kalkınma,Konferans;Kalkınma;Kültür,İstanbul,41.1292562,28.88335172,"Türkiye Mimar ve Mühendis Odalar Birliği, Kalkınma Kültür ve Demokrasi Sempozyumu",mg-106,Görüntü,image/jpg,tr,http://www.tmmob.org.tr,,https://digitalottomans.github.io/demo/item.html?id=106,mg-106.jpg
Coğrafi Keşiflerin İstanbul’dan Görünüşü,Digital Ottoman Studies,1992-10-12,Coğrafi Keşiflerin İstanbul’dan Görünüşü,Konferans;Coğrafi Keşifler;Şehirler;İstanbul,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,"İstanbul Üniversitesi, Edebiyat Fakültesi Sosyoloji Bölümü, Amerika’nın Keşfinin 500. Yılı Toplantıları",mg-107,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=107,mg-107.jpg
Şeref Doktorası Tevcihinde Yapılan Konuşma,Digital Ottoman Studies,1996-02-08,Şeref Doktorası Tevcihinde Yapılan Konuşma,Konferans;Şeref Doktorası,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,"İstanbul Üniversitesi, Edebiyat Fakültesi ",mg-108,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=108,mg-108.jpg
Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Digital Ottoman Studies,1992,Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Konferans;İktisat;İktisadi Düşünce,İstanbul,41.1292562,28.88335172,Birlik Vakfı,mg-109,Görüntü,image/jpg,tr,https://www.birlikvakfi.org.tr,,https://digitalottomans.github.io/demo/item.html?id=109,mg-109.jpg
"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Digital Ottoman Studies,1994,"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Konferans;İktisat;İktisadi Düşünce;Ticaret;Zanaat,İstanbul,41.1292562,28.88335172,"Yapı Kredi Kültür Merkezi Salı Toplantıları, Kültür Mirası",mg-110,Görüntü,image/jpg,tr,https://sanat.ykykultur.com.tr/etkinlikler#,,https://digitalottomans.github.io/demo/item.html?id=110,mg-110.jpg
Osmanlı Tarihi Araştırmalarının Bugünkü Durumu,Digital Ottoman Studies,1999-02-10,Osmanlı Tarihi Araştırmalarının Bugünkü Durumu,Konferans;Tarihçilik,İstanbul,41.1292562,28.88335172,İstanbul Üniversitesi Edebiyat Fakültesi Sosyoloji Bölümü,mg-111,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,,https://digitalottomans.github.io/demo/item.html?id=111,mg-111.jpg
Osmanlı Devleti ve Modern İktisadi Büyüme,Digital Ottoman Studies,2001-12-28,Osmanlı Devleti ve Modern İktisadi Büyüme,Konferans;İktisat;Kalkınma;İktisadi Büyüme;Dönemler;Modern,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,İSAM,mg-112,Görüntü,image/jpg,tr,http://www.isam.org.tr,,https://digitalottomans.github.io/demo/item.html?id=112,mg-112.jpg
Osmanlı Tarihçiliğinin Bugünkü Meseleleri,Digital Ottoman Studies,2004-05-26,Osmanlı Tarihçiliğinin Bugünkü Meseleleri,Konferans;Tarihçilik,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,İSAM,mg-113,Görüntü,image/jpg,tr,http://www.isam.org.tr,,https://digitalottomans.github.io/demo/item.html?id=113,mg-113.jpg
